phonosyll	Error	ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
tes		tes	te	tes	ADJ:pos			690.24	145	690.24	145		1	6	1	3	2	CVC	CV	16	27	3	2	te	1	CV	set	et	tes	ADJ:pos			1	1	tes-:pos	2
de-man-der		demander	d°m@de	demander	VER			909.77	984.46	188.86	144.66	inf;;inf;;inf;;inf;;inf;;	1	6	1	8	6	CVCVCCVC	CVCVCV	2	4	8	6	d°-m@-de	3	CV-CV-CV	rednamed	ed@m°d	de-man-der	VER	100	24	1.75	1.65	demander	1
pa-pier		papier	papje	papier	NOM	m	s	120.51	203.11	56.32	144.59		1	2	1	6	5	CVCVVC	CVCYV	4	8	6	5	pa-pje	2	CV-CYV	reipap	ejpap	pa-pier	NOM	100	17	1.75	1.3	papier	1
ri-r		rire	RiR	rire	VER			140.24	320.54	63.29	144.19	inf;	2	4	1	4	3	CVCV	CVC	20	24	3	3	RiR	1	CVC	erir	RiR	ri-re	NOM,VER	96	31	1	1	rire	1
ô-tel		hôtel	otEl	hôtel	NOM	m	s	114.67	158.92	107.73	143.78		1	4	1	5	4	CVCVC	VCVC	1	8	5	4	o-tEl	2	V-CVC	letôh	lEto	hô-tel	NOM	100	19	1.85	1.3	hôtel	1
a-mi		amis	ami	ami	NOM	m	p	747.98	354.12	252.66	143.45		2	8	0	4	3	VCVC	VCV	9	16	0	3	a-mi	2	V-CV	sima	ima	a-mis	ADJ,NOM			1.15	1	ami	1
at-en-dr		attendre	at@dR	attendre	VER			1351.46	706.69	177.44	143.45	inf;;inf;;inf;;	1	1	1	8	5	VCCVCCCV	VCVCC	3	11	8	5	a-t@dR	2	V-CVCC	erdnetta	Rd@ta	at-ten-dre	VER	100	26	1.65	1.05	attendre	1
lais-		laisse	lEs	laisser	VER			1334.1	851.55	479.63	143.31	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	2	5	0	6	3	CVVCCV	CVC	5	22	6	3	lEs	1	CVC	essial	sEl	lais-se	NOM,VER	100	27	1.45	1	laisser	1
frè-r		frère	fRER	frère	NOM	m	s	390.39	216.35	311.45	142.36		1	2	1	5	4	CCVCV	CCVC	3	15	3	4	fRER	1	CCVC	erèrf	RERf	frè-re	NOM	100	23	1.75	1	frère	1
mil-		mille	mil	mille	ADJ:num			55.43	142.09	55.43	142.09		2	5	1	5	3	CVCCV	CVC	11	27	5	3	mil	1	CVC	ellim	lim	mil-le	ADJ:num,NOM			1.15	1	mille-:num	2
ar-br		arbres	aRbR	arbre	NOM	m	p	81.69	208.58	32.4	141.42		1	2	0	6	4	VCCCVC	VCCC	0	2	0	4	aRbR	1	VCCC	serbra	RbRa	ar-bres	NOM	100	20	1.85	1.75	arbre	1
let-r		lettre	lEtR	lettre	NOM	f	s	156.77	256.01	108.79	140.88		1	2	1	6	4	CVCCCV	CVCC	2	11	6	4	lEtR	1	CVCC	erttel	RtEl	let-tre	NOM	100	28	1.75	1.2	lettre	1
noi-r		noire	nwaR	noir	ADJ	f	s	144.81	482.23	41.57	140.88		2	8	0	5	4	CVVCV	CYVC	9	13	0	4	nwaR	1	CYVC	erion	Rawn	noi-re	ADJ,NOM	100	24	1.4	1	noir	1
jour-né		journée	ZuRne	journée	NOM	f	s	174.89	179.39	165.35	140.74		1	2	1	7	5	CVVCCVV	CVCCV	2	4	6	5	ZuR-ne	2	CVC-CV	eénruoj	enRuZ	jour-née	NOM	95	20	1.8	1.7	journée	1
mi-nu-t		minutes	minyt	minute	NOM	f	p	342.28	201.42	197.45	140.68		2	6	0	7	5	CVCVCVC	CVCVC	2	2	0	5	mi-nyt	2	CV-CVC	setunim	tynim	mi-nu-tes	NOM,VER	100	30	1.8	1.75	minute	1
ma-man		maman	mam@	maman	NOM	f	s	540.21	144.39	537.44	140.2		1	2	1	5	4	CVCVC	CVCV	1	11	5	4	ma-m@	2	CV-CV	namam	@mam	ma-man	NOM	100	18	1.85	1.35	maman	1
a-mi		ami	ami	ami	NOM	m	s	747.98	354.12	360.9	140.14		2	8	1	3	3	VCV	VCV	4	16	3	3	a-mi	2	V-CV	ima	ima	a-mi	ADJ,NOM			1.5	1	ami	1
ce-pen-dan		cependant	s°p@d@	cependant	ADV			20.07	139.73	20.07	139.73		2	2	1	9	6	CVCVCCVCC	CVCVCV	0	0	4	3	s°-p@-d@	3	CV-CV-CV	tnadnepec	@d@p°s	ce-pen-dant	ADV,CON			2.75	2.35	cependant	1
plei-n		pleine	plEn	plein	ADJ	f	s	208.75	370.41	82.13	139.19		1	6	0	6	4	CCVVCV	CCVC	2	10	0	4	plEn	1	CCVC	enielp	nElp	plei-ne	ADJ	100	24	1.75	1.25	plein	1
droi		droit	dRwa	droit	NOM	m	s	207.62	163.72	175.6	138.72		3	5	1	5	4	CCVVC	CCYV	1	7	5	4	dRwa	1	CCYV	tiord	awRd	droit	ADJ,ADV,NOM	96	33	1.75	1.35	droit	1
pa-ren		parents	paR@	parent	NOM	m	p	188.38	146.35	177.04	138.72		2	5	0	7	4	CVCVCCC	CVCV	3	23	0	4	pa-R@	2	CV-CV	stnerap	@Rap	pa-rents	ADJ,NOM	100	22	1.7	1	parent	1
ton		ton	t§	ton	NOM	m	s	53.24	146.35	51.73	138.45		2	7	1	3	2	CVC	CV	18	26	3	2	t§	1	CV	not	§t	ton	ADJ:pos,NOM			1	1	ton	1
lon-gu		longue	l§g	long	ADJ	f	s	164.02	444.86	54.12	138.31		2	4	0	6	3	CVCCVV	CVC	2	11	6	3	l§g	1	CVC	eugnol	g§l	lon-gue	ADJ,NOM	100	23	1.7	1.35	long	1
nou-veau		nouveau	nuvo	nouveau	ADJ	m	s	209.45	185.61	170.28	138.31		2	4	1	7	4	CVVCVVV	CVCV	0	1	7	4	nu-vo	2	CV-CV	uaevuon	ovun	nou-veau	ADJ,NOM	100	15	2.4	1.95	nouveau	1
for-m		forme	fORm	forme	NOM	f	s	94.19	176.69	82.61	137.91		2	5	1	5	4	CVCCV	CVCC	10	8	5	4	fORm	1	CVCC	emrof	mROf	for-me	NOM,VER	100	22	1.1	1.2	forme	1
a-prè		après	apRE	après	ADV			193.68	137.23	193.68	137.23		2	4	1	5	4	VCCVC	VCCV	2	10	5	4	a-pRE	2	V-CCV	sèrpa	ERpa	a-près	ADV,PRE			1.8	1	après	1
pré-sen		présent	pRez@	présent	NOM	m	s	66.72	141.01	65.14	137.23		2	4	1	7	5	CCVCVCC	CCVCV	1	3	7	5	pRe-z@	2	CCV-CV	tnesérp	@zeRp	pré-sent	ADJ,NOM	100	20	1.75	1.75	présent	1
pas-a-g		passage	pasaZ	passage	NOM	m	s	44.73	154.39	40.2	136.82		1	2	1	7	5	CVCCVCV	CVCVC	5	12	7	5	pa-saZ	2	CV-CVC	egassap	Zasap	pas-sa-ge	NOM	94	17	1.65	1.3	passer-age	2
com-pri		compris	k§pRi	comprendre	VER	m		893.51	614.8	198.16	136.62	ind:pas:1s;ind:pas:2s;par:pas;par:pas;par:pas;	2	4	0	7	5	CVCCCVC	CVCCV	1	3	7	5	k§-pRi	2	CV-CCV	sirpmoc	iRp§k	com-pris	VER,ADJ	96	25	1.9	1.6	comprendre	1
ven-tr		ventre	v@tR	ventre	NOM	m	s	46.91	141.96	46.07	136.62		1	2	1	6	4	CVCCCV	CVCC	5	16	6	4	v@tR	1	CVCC	ertnev	Rt@v	ven-tre	NOM	100	23	1.45	1	ventre	1
jeu-n		jeunes	Z9n	jeune	ADJ		p	297.01	569.19	62.12	136.55		2	4	0	6	3	CVVCVC	CVC	3	4	0	3	Z9n	1	CVC	senuej	n9Z	jeu-nes	ADJ,NOM	100	24	1.75	1.7	jeune	1
va		vas	va	aller	VER			9992.77	2854.93	1009.22	136.35	imp:pre:2s;ind:pre:2s;	1	3	0	3	2	CVC	CV	16	29	0	2	va	1	CV	sav	av	vas	VER	100	17	1	1	aller	1
tan-dique		tandis que	t@dik2	tandis que	CON			15.04	136.15	15.04	136.15		2	2	1	10	6	CVCCVC CVV	CVCVCV	0	0	10	6	t@-di-k2	3	CV-CV-CV	euq sidnat	2kid@t	tan-dis que	ADV,CON			3.85	2.7	tandis-que	2
vu		vue	vy	vue	NOM	f	s	87.84	144.39	84.42	136.01		3	11	1	3	2	CVV	CV	15	24	3	2	vy	1	CV	euv	yv	vue	VER,ADJ,NOM			1.1	1	vue	1
trou-vé		trouvé	tRuve	trouver	VER	m	s	1335.49	972.5	339.29	135.74	par:pas;par:pas;par:pas;	2	10	0	6	5	CCVVCV	CCVCV	3	7	6	5	tRu-ve	2	CCV-CV	évuort	evuRt	trou-vé	VER,ADJ	100	19	1.7	1.45	trouver	1
cen		cent	s@	cent	ADJ:num			43.05	135.41	43.05	135.41		2	8	1	4	2	CVCC	CV	7	28	4	2	s@	1	CV	tnec	@s	cent	ADJ:num,NOM			1.5	1	cent-:num	2
ve-nu		venu	v°ny	venir	VER	m	s	2763.82	1514.53	244.7	135.14	par:pas;	2	11	0	4	4	CVCV	CVCV	6	9	4	4	v°-ny	2	CV-CV	unev	yn°v	ve-nu	VER,ADJ	100	16	1.5	1.55	venir	1
mou-ve-men		mouvement	muv°m@	mouvement	NOM	m	s	40.33	182.97	29.26	134.8		1	2	1	9	6	CVVCVCVCC	CVCVCV	0	0	9	6	mu-v°-m@	3	CV-CV-CV	tnemevuom	@m°vum	mou-ve-ment	NOM	100	20	2.45		mouvoir-ment	2
li-vr		livres	livR	livre	NOM		p	198.11	286.49	85.69	134.73		2	5	0	6	4	CVCCVC	CVCC	9	5	0	4	livR	1	CVCC	servil	Rvil	li-vres	NOM,VER	100	24	1.25	1.35	livre	1
ma-niè-r		manière	manjER	manière	NOM	f	s	72.31	157.77	55.43	134.66		1	3	1	7	6	CVCVVCV	CVCYVC	5	10	5	5	ma-njER	2	CV-CYVC	erèinam	REjnam	ma-niè-re	NOM	100	15	1.7	1.4	manière	1
sim-ple-men		simplement	s5pl°m@	simplement	ADV			84.76	134.32	84.76	134.32		1	1	1	10	7	CVCCCVCVCC	CVCCVCV	0	2	7	5	s5-pl°-m@	3	CV-CCV-CV	tnemelpmis	@m°lp5s	sim-ple-ment	ADV			2.85	2.55	simplement	1
man-ger		manger	m@Ze	manger	VER			467.82	280.61	207.63	134.26	inf;;	2	7	1	6	4	CVCCVC	CVCV	9	12	6	4	m@-Ze	2	CV-CV	regnam	eZ@m	man-ger	NOM,VER	100	20	1.35	1.25	manger	1
a-vez		avez	ave	avoir	VER			13572.4	6426.49	661.88	134.19	ind:pre:2p;	2	5	0	4	3	VCVC	VCV	3	19	0	3	a-ve	2	V-CV	zeva	eva	a-vez	AUX,VER	93	16	1.5	1	avoir	1
de-main		demain	d°m5	demain	ADV			425.85	134.12	425.85	134.12		3	4	1	6	4	CVCVVC	CVCV	0	4	5	4	d°-m5	2	CV-CV	niamed	5m°d	de-main	ADJ,ADV,NOM			1.95	1.8	demain	1
joi		joie	Zwa	joie	NOM	f	s	75.09	150.2	71.07	134.12		1	4	1	4	3	CVVV	CYV	5	19	4	3	Zwa	1	CYV	eioj	awZ	joie	NOM	100	20	1.55	1	joie	1
le-quel		lequel	l°kEl	lequel	PRO:rel	m	s	64.31	137.09	59.66	133.99		2	2	1	6	5	CVCVVC	CVCVC	0	3	3	3	l°-kEl	2	CV-CVC	leuqel	lEk°l	le-quel	PRO:int,PRO:rel			2.35	1.85	lequel-:rel	2
gau-ch		gauche	goS	gauche	NOM		s	71.78	134.59	71.66	133.78		2	4	1	6	3	CVVCCV	CVC	3	8	6	3	goS	1	CVC	ehcuag	Sog	gau-che	ADJ,NOM	100	18	1.7	1.4	gauche	1
in-té-rieur		intérieur	5teRj9R	intérieur	NOM	m	s	90.11	135.88	89.75	133.51		2	6	1	9	7	VCCVCVVVC	VCVCYVC	2	2	9	7	5-te-Rj9R	3	V-CV-CYVC	rueirétni	R9jRet5	in-té-rieur	ADJ,NOM	95	21	2.2	2.6	intérieur	1
vé-ri-té		vérité	veRite	vérité	NOM	f	s	193.24	140.88	190.21	133.38		1	2	1	6	6	CVCVCV	CVCVCV	2	1	6	6	ve-Ri-te	3	CV-CV-CV	étirév	etiRev	vé-ri-té	NOM	100	24	1.85	1.9	vér-ité	2
tom-ber		tomber	t§be	tomber	VER			407.82	441.42	180.25	133.18	inf;	1	12	1	6	4	CVCCVC	CVCV	3	7	6	4	t§-be	2	CV-CV	rebmot	eb§t	tom-ber	VER	100	26	1.7	1.5	tomber	1
pré-sen-c		présence	pRez@s	présence	NOM	f	s	45.03	135.54	44.95	133.11		1	2	1	8	6	CCVCVCCV	CCVCVC	1	2	7	6	pRe-z@s	2	CCV-CVC	ecnesérp	s@zeRp	pré-sen-ce	NOM	100	36	2	1.85	présence	1
sa-vez		savez	save	savoir	VER			4516.71	2003.58	407.94	132.91	ind:pre:2p;	1	1	0	5	4	CVCVC	CVCV	6	13	0	0	sa-ve	2	CV-CV	zevas	evas	sa-vez	VER	100	20	1.55	1.2	savoir	1
é-po-qu		époque	epOk	époque	NOM	f	s	68.44	138.51	67.23	132.7		1	2	1	6	4	VCVCVV	VCVC	2	2	4	4	e-pOk	2	V-CVC	euqopé	kOpe	é-po-que	NOM	100	25	1.8	1.85	époque	1
ap-el-		appelle	apEl	appeler	VER			1165.48	465.34	485.77	132.36	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	1	5	0	7	4	VCCVCCV	VCVC	1	7	0	4	a-pEl	2	V-CVC	elleppa	lEpa	ap-pel-le	VER	95	20	1.85	1.4	appeler	1
sa-vai		savais	savE	savoir	VER			4516.71	2003.58	236.66	132.09	ind:imp:1s;ind:imp:2s;	1	3	0	6	4	CVCVVC	CVCV	4	16	0	0	sa-vE	2	CV-CV	siavas	Evas	sa-vais	VER	100	20	1.7	1.1	savoir	1
puis-que		puisque	p8isk°	puisque	CON			59.09	131.82	59.09	131.82		2	2	1	7	6	CVVCCVV	CYVCCV	0	0	7	6	p8is-k°	2	CYVC-CV	euqsiup	°ksi8p	puis-que	ADV,CON			2.1		puisque	1
pas-ai		passait	pasE	passer	VER			1495.49	1165.27	28.5	131.28	ind:imp:3s;	1	4	0	7	4	CVCCVVC	CVCV	8	27	0	0	pa-sE	2	CV-CV	tiassap	Esap	pas-sait	VER	95	23	1.5	1	passer	1
som-		sommes	sOm	être	VER			32236.5	15085.47	293.82	130.95	imp:pre:1p;ind:pre:1p;sub:pre:2s;	4	7	0	6	3	CVCCVC	CVC	8	14	0	3	sOm	1	CVC	semmos	mOs	som-mes	NOM,VER,AUX	100	19	1.5	1.2	être	1
nou-vel-		nouvelle	nuvEl	nouvelle	ADJ	f	s	191.15	172.5	152.78	130.81		2	5	1	8	5	CVVCVCCV	CVCVC	0	2	8	5	nu-vEl	2	CV-CVC	ellevuon	lEvun	nou-vel-le	NOM,ADJ			2.4	1.9	nouvelle	1
jeu		jeu	Z2	jeu	NOM	m	s	190.44	173.31	156.79	130.68		1	2	1	3	2	CVV	CV	6	23	3	2	Z2	1	CV	uej	2Z	jeu	NOM			1.55	1	jouer	1
mou-rir		mourir	muRiR	mourir	VER			916.4	391.08	234.74	130.61	inf;;	1	1	1	6	5	CVVCVC	CVCVC	1	8	6	4	mu-RiR	2	CV-CVC	riruom	RiRum	mou-rir	VER	100	19	1.9	1.6	mourir	1
li-br		libre	libR	libre	ADJ		s	134.42	167.91	110.36	130.14		1	2	1	5	4	CVCCV	CVCC	5	6	5	4	libR	1	CVCC	erbil	Rbil	li-bre	ADJ	100	11	1.6	1.5	libre	1
bu-reau		bureau	byRo	bureau	NOM	m	s	167.13	150.07	156.68	130.07		1	2	1	6	4	CVCVVV	CVCV	2	12	6	4	by-Ro	2	CV-CV	uaerub	oRyb	bu-reau	NOM	100	24	1.85	1.3	bureau	1
al-on		allons	al§	aller	VER			9992.77	2854.93	500.21	129.8	imp:pre:1p;ind:pre:1p;	1	3	0	6	3	VCCVCC	VCV	1	24	0	3	a-l§	2	V-CV	snolla	§la	al-lons	VER	100	17	1.65	1	aller	1
vieu		vieux	vj2	vieux	NOM	m		145.73	185.81	124.54	129.8		2	2	1	5	3	CVVVC	CYV	7	9	5	3	vj2	1	CYV	xueiv	2jv	vieux	ADJ,NOM	100	20	1.55	1.4	vieux	1
â-m		âme	am	âme	NOM	f	s	141.59	151.62	122.22	129.53		1	2	1	3	2	VCV	VC	3	21	3	2	am	1	VC	emâ	ma	â-me	NOM			1.7	1	âme	1
pren		prend	pR@	prendre	VER			1913.83	1466.42	179.02	129.05	ind:pre:3s;	1	2	0	5	3	CCVCC	CCV	0	19	0	0	pR@	1	CCV	dnerp	@Rp	prend	VER	95	24	1.8	1	prendre	1
an-é		année	ane	année	NOM	f	s	316.25	375.54	129.64	128.99		1	2	1	5	3	VCCVV	VCV	4	16	5	3	a-ne	2	V-CV	eénna	ena	an-née	NOM	100	19	1.6	1	année	1
de-man-dé		demandé	d°m@de	demander	VER	m	s	909.77	984.46	212.89	128.92	par:pas;par:pas;par:pas;	1	6	0	7	6	CVCVCCV	CVCVCV	2	4	0	6	d°-m@-de	3	CV-CV-CV	édnamed	ed@m°d	de-man-dé	VER	100	24	2	1.65	demander	1
quel-quun		quelqu'un	kElk1	quelqu'un	PRO:ind		s	629	128.92	629	128.92		1	1	1	9	5	CVVCCV'VC	CVCCV	0	0	9	5	kEl-k1	2	CVC-CV	nu'uqleuq	1klEk	quel-qu'un	PRO:ind			4.55	2.4	quelqu'un-:ind	2
ai-mai		aimait	EmE	aimer	VER			1655.07	795.61	49.57	128.72	ind:imp:3s;	1	4	0	6	3	VVCVVC	VCV	7	10	0	0	E-mE	2	V-CV	tiamia	EmE	ai-mait	VER	100	22	1.55	1.3	aimer	1
dé-bu		début	deby	début	NOM	m	s	114.31	141.49	109.88	128.51		1	2	1	5	4	CVCVC	CVCV	3	5	5	4	de-by	2	CV-CV	tubéd	ybed	dé-but	NOM	100	28	1.65	1.7	début	1
a-bi-tu-d		habitude	abityd	habitude	NOM	f	s	98.22	154.46	89.71	128.51		1	2	1	8	6	CVCVCVCV	VCVCVC	1	3	7	6	a-bi-tyd	3	V-CV-CVC	edutibah	dytiba	ha-bi-tu-de	NOM	100	20	1.95	1.8	habitude	1
é-co-l		école	ekOl	école	NOM	f	s	206.88	143.99	197.04	128.51		1	2	1	5	4	VCVCV	VCVC	4	6	5	4	e-kOl	2	V-CVC	elocé	lOke	é-co-le	NOM	100	14	1.7	1.55	école	1
dou-ce-men		doucement	dus°m@	doucement	ADV			103.81	128.38	103.81	128.38		1	1	1	9	6	CVVCVCVCC	CVCVCV	0	0	6	5	du-s°-m@	3	CV-CV-CV	tnemecuod	@m°sud	dou-ce-ment	ADV			2.5		doucement	1
es-pè-c		espèce	EspEs	espèce	NOM	f	s	116.51	141.69	105.04	127.23		1	2	1	6	5	VCCVCV	VCCVC	2	3	4	4	Es-pEs	2	VC-CVC	ecèpse	sEpsE	es-pè-ce	NOM	96	27	2.3	1.85	espèce	1
or		or	OR	or	NOM	m	s	110.28	130	109.96	127.23		3	8	1	2	2	VC	VC	7	16	2	2	OR	1	VC	ro	RO	or	ADJ,CON,NOM			1.3	1	or	1
at-en-dai		attendait	at@dE	attendre	VER			1351.46	706.69	25.02	127.09	ind:imp:3s;	1	3	0	9	5	VCCVCCVVC	VCVCV	4	11	0	0	a-t@-dE	3	V-CV-CV	tiadnetta	Ed@ta	at-ten-dait	VER	100	26	1.7	1.3	attendre	1
te-nir		tenir	t°niR	tenir	VER			504.69	741.22	82.83	126.82	inf;	1	1	1	5	5	CVCVC	CVCVC	1	2	4	4	t°-niR	2	CV-CVC	rinet	Rin°t	te-nir	VER	100	20	1.9	1.9	tenir	1
tô		tôt	to	tôt	ADV			129.98	126.76	129.98	126.76		1	6	1	3	2	CVC	CV	4	23	3	2	to	1	CV	tôt	ot	tôt	ADV			1.8	1	tôt	1
gran-d		grandes	gR@d	grand	ADJ	f	p	638.72	1244.66	42.68	126.49		2	4	0	7	4	CCVCCVC	CCVC	5	5	0	0	gR@d	1	CCVC	sednarg	d@Rg	gran-des	ADJ,NOM	96	25	1.55	1.55	grand	1
vien		viens	vj5	venir	VER			2763.82	1514.53	944.81	126.49	imp:pre:2s;ind:pre:1s;ind:pre:2s;inf;	1	2	0	5	3	CVVCC	CYV	7	9	0	0	vj5	1	CYV	sneiv	5jv	viens	VER	100	16	1.55	1.5	venir	1
for-c		forces	fORs	force	NOM	f	p	151.96	344.73	43.67	126.35		2	6	0	6	4	CVCCVC	CVCC	9	8	0	4	fORs	1	CVCC	secrof	sROf	for-ces	NOM,VER	100	22	1.4	1.15	force	1
es-ca-lier		escalier	Eskalje	escalier	NOM	m	s	32.29	148.85	20.91	125.95		1	2	1	8	7	VCCVCVVC	VCCVCYV	1	1	6	6	Es-ka-lje	3	VC-CV-CYV	reilacse	ejlaksE	es-ca-lier	NOM	100	29	2.45	2.4	escalier	1
maî-tr		maître	mEtR	maître	NOM	m	s	128.55	151.49	118.88	125.74		2	9	1	6	4	CVVCCV	CVCC	3	12	6	4	mEtR	1	CVCC	ertîam	RtEm	maî-tre	ADJ,NOM	100	27	1.75	1	maître	1
con-trai-r		contraire	k§tRER	contraire	NOM	m	s	62.13	126.01	62.03	125.47		2	4	1	9	6	CVCCCVVCV	CVCCVC	0	3	9	6	k§-tRER	2	CV-CCVC	eriartnoc	RERt§k	con-trai-re	ADJ,NOM	90	22	2.05	1.75	contraire	1
sac		sac	sak	sac	NOM	m	s	124.6	174.26	105.96	125.47		1	5	1	3	3	CVC	CVC	14	27	3	3	sak	1	CVC	cas	kas	sac	NOM			1.2	1	sac	1
eu-reu		heureux	2R2	heureux	ADJ	m		248.45	190	155.8	125.41		2	2	1	7	3	CVVCVVC	VCV	1	4	7	3	2-R2	2	V-CV	xuerueh	2R2	heu-reux	ADJ,NOM	100	16	2.4	1.65	heureux	1
re-trou-ver		retrouver	R°tRuve	retrouver	VER			295.17	416.22	100.9	125.2	inf;;inf;;inf;;	1	6	1	9	7	CVCCVVCVC	CVCCVCV	2	5	8	7	R°-tRu-ve	3	CV-CCV-CV	revuorter	evuRt°R	re-trou-ver	VER	100	18	1.8	1.6	retrouver	1
goû		goût	gu	goût	NOM	m	s	57.94	141.82	50.51	124.8		1	2	1	4	2	CVVC	CV	3	26	4	2	gu	1	CV	tûog	ug	goût	NOM	100	12	1.65	1	goûter	1
ac-or		accord	akOR	accord	NOM	m	s	766.2	136.15	761.77	124.66		1	6	1	6	4	VCCVCC	VCVC	2	11	6	4	a-kOR	2	V-CVC	drocca	ROka	ac-cord	NOM	100	18	1.6	1.2	a-corde	2
jour-nal		journal	ZuRnal	journal	NOM	m	s	110.8	197.7	72.5	124.32		1	1	1	7	6	CVVCCVC	CVCCVC	0	0	7	6	ZuR-nal	2	CVC-CVC	lanruoj	lanRuZ	jour-nal	NOM	96	26	2.6	2.35	journal	1
sim-pl		simple	s5pl	simple	ADJ		s	137.69	148.58	124.57	124.26		2	4	1	6	4	CVCCCV	CVCC	2	4	6	4	s5pl	1	CVCC	elpmis	lp5s	sim-ple	ADJ,NOM	100	27	1.8	1.75	simple	1
res-ter		rester	REste	rester	VER			1003.56	793.78	310.38	123.78	inf;;inf;;inf;;inf;;	1	6	1	6	5	CVCCVC	CVCCV	7	9	6	5	REs-te	2	CVC-CV	retser	etsER	res-ter	VER	100	19	1.5	1.4	rester	1
le-va		leva	l°va	lever	VER			165.98	440.74	1.28	123.58	ind:pas:3s;	2	3	0	4	4	CVCV	CVCV	3	7	4	4	l°-va	2	CV-CV	avel	av°l	le-va	NOM,VER	100	16	1.7	1.55	lever	1
é-gli-s		église	egliz	église	NOM	f	s	64.75	145.07	60.2	123.58		1	2	1	6	5	VCCVCV	VCCVC	0	0	4	4	e-gliz	2	V-CCVC	esilgé	zilge	é-gli-se	NOM	100	23	1.85	1.85	église	1
fai-sai		faisaient	f°zE	faire	VER			8813.48	5328.99	20.25	123.38	ind:imp:3p;	1	3	0	9	4	CVVCVVVCC	CVCV	3	4	0	0	f°-zE	2	CV-CV	tneiasiaf	Ez°f	fai-saient	VER	100	19	1.85	1.75	faire	1
cui-si-n		cuisine	k8izin	cuisine	NOM	f	s	87.92	135.41	85.08	123.31		2	5	1	7	6	CVVCVCV	CYVCVC	2	0	7	6	k8i-zin	2	CYV-CVC	enisiuc	nizi8k	cui-si-ne	NOM,VER	100	22	1.7	1.7	cuisine	1
don-ai		donnait	donE	donner	VER			1209.67	896.01	15.97	123.24	ind:imp:3s;	1	4	0	7	4	CVCCVVC	CVCV	4	19	0	0	do-nE	2	CV-CV	tiannod	Enod	don-nait	VER	96	27	1.7	1	donner	1
en-ten-du		entendu	@t@dy	entendre	VER	m	s	728.67	719.12	256.43	122.91	par:pas;	2	8	0	7	5	VCCVCCV	VCVCV	2	8	7	5	@-t@-dy	3	V-CV-CV	udnetne	yd@t@	en-ten-du	VER,ADJ	100	25	1.75	1.5	entendre	1
lar-m		larmes	laRm	larme	NOM	f	p	45.71	133.51	40.56	122.7		1	2	0	6	4	CVCCVC	CVCC	3	8	0	4	laRm	1	CVCC	semral	mRal	lar-mes	NOM	100	29	1.6	1.4	larme	1
on-cl		oncle	§kl	oncle	NOM	m	s	126.71	127.7	124.11	121.96		1	2	1	5	3	VCCCV	VCC	1	2	4	3	§kl	1	VCC	elcno	lk§	on-cle	NOM	94	18	1.85	1.85	oncle	1
jouer		jouer	Zwe	jouer	VER			570.12	337.23	225.84	121.82	inf;;	1	10	1	5	3	CVVVC	CYV	11	14	5	3	Zwe	1	CYV	reuoj	ewZ	jouer	VER	90	33	1.2	1.2	jouer	1
é-té		été	ete	été	NOM	m	s	67.27	125.47	61.8	121.55		3	4	1	3	3	VCV	VCV	2	17	3	3	e-te	2	V-CV	été	ete	é-té	NOM,AUX,VER			1.7	1	été	1
fleur		fleurs	fl9R	fleur	NOM	f	p	99.75	164.39	74.56	121.42		1	4	0	6	4	CCVVCC	CCVC	3	6	0	4	fl9R	1	CCVC	sruelf	R9lf	fleurs	NOM	100	28	1.7	1.1	fleur	1
au		haut	o	haut	NOM	m	s	77.86	125.07	75.22	121.01		3	16	1	4	1	CVVC	V	6	20	4	1	o	1	V	tuah	o	haut	ADJ,ADV,NOM	81	16	1.55	1	haut	1
ba		bas	ba	bas	NOM	m	p	71.78	119.86	71.78	119.86		3	8	1	3	2	CVC	CV	19	30	3	2	ba	1	CV	sab	ab	bas	ADJ,ADV,NOM			1	1	bas	1
dau-tr		d'autres	dotR	d'autres	ADJ:ind		p	133.34	119.73	133.34	119.73		2	2	1	8	4	C'VVCCVC	CVCC	0	6	4	4	dotR	1	CVCC	sertua'd	Rtod	d'au-tres	ADJ:ind,PRO:ind			2.9	1.65	d'autres-:ind	2
gou-ver-ne-men		gouvernement	guvERn°m@	gouvernement	NOM	m	s	62.66	132.03	59.82	119.73		1	2	1	12	9	CVVCVCCVCVCC	CVCVCCVCV	0	0	12	9	gu-vER-n°-m@	4	CV-CVC-CV-CV	tnemenrevuog	@m°nREvug	gou-ver-ne-ment	NOM	100	17	2.95	2.65	gouverner-ment	2
at-en-tion		attention	at@sj§	attention	NOM	f	s	158.52	124.53	156.9	119.66		2	3	1	9	6	VCCVCCVVC	VCVCYV	0	4	9	6	a-t@-sj§	3	V-CV-CYV	noitnetta	§js@ta	at-ten-tion	NOM,ONO	87	16	2.25	1.75	attention	1
