phonosyll	Error	ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
		profiter	pRofite	profiter	VER			67.2	91.22	22.5	25.14	inf;	1	4	1	8	7	CCVCVCVC	CCVCVCV	3	6	8	7	pRo-fi-te	3	CCV-CV-CV	retiforp	etifoRp	pro-fi-ter	VER	95	24	1.7	1.55	profiter	1
		revue	R°vy	revue	NOM	f	s	10.1	33.92	7.79	25.14		3	10	1	5	4	CVCVV	CVCV	5	13	5	4	R°-vy	2	CV-CV	euver	yv°R	re-vue	VER,ADJ,NOM	95	22	1.65	1.3	revue	1
		serré	sERe	serrer	VER	m	s	50.99	207.5	7.12	25.14	par:pas;	2	5	0	5	4	CVCCV	CVCV	7	22	5	4	sE-Re	2	CV-CV	érres	eREs	ser-ré	VER,ADJ	92	14	1.5	1	serrer	1
		whisky	wiski	whisky	NOM	m	s	30.2	25.47	29.89	25.14		1	4	1	6	5	CCVCCV	YVCCV	0	0	6	5	wis-ki	2	YVC-CV	yksihw	iksiw	w-his-ky	NOM	100	21	3.05	2	whisky	1
		carré	kaRe	carré	NOM	m	s	3.85	32.23	3.48	25.07		3	14	1	5	4	CVCCV	CVCV	14	35	5	4	ka-Re	2	CV-CV	érrac	eRak	car-ré	VER,ADJ,NOM	100	24	1.2	1	carré	1
		chevelure	S°v°lyR	chevelure	NOM	f	s	2.52	27.5	2.5	25.07		1	2	1	9	7	CCVCVCVCV	CVCVCVC	0	0	8	7	S°-v°-lyR	3	CV-CV-CVC	erulevehc	Ryl°v°S	che-ve-lu-re	NOM	100	31	2.6		chevelure	1
		démarche	demaRS	démarche	NOM	f	s	5.69	32.91	3.96	25.07		2	3	1	8	6	CVCVCCCV	CVCVCC	2	7	8	6	de-maRS	2	CV-CVCC	ehcraméd	SRamed	dé-mar-che	NOM,VER	100	22	1.9	1.45	démarche	1
		four	fuR	four	NOM	m	s	15.44	28.99	13.95	25.07		1	5	1	4	3	CVVC	CVC	9	22	4	3	fuR	1	CVC	ruof	Ruf	four	NOM	93	15	1.35	1	four	1
		penché	p@Se	pencher	VER	m	s	16.9	155.88	1.61	25.07	par:pas;	2	10	0	6	4	CVCCCV	CVCV	3	10	6	4	p@-Se	2	CV-CV	éhcnep	eS@p	pen-ché	VER,ADJ	96	25	1.75	1.2	pencher	1
		plaisirs	pleziR	plaisir	NOM	m	p	186.37	233.85	8.97	25.07		1	2	0	8	6	CCVVCVCC	CCVCVC	0	0	0	5	ple-ziR	2	CCV-CVC	srisialp	Rizelp	plai-sirs	NOM	100	28	2.55	2.15	plaisir	1
		ras	Ra	ras	NOM	m		0.78	25.07	0.78	25.07		3	7	1	3	2	CVC	CV	21	29	3	2	Ra	1	CV	sar	aR	ras	ADJ,ADV,NOM			1	1	ras	1
		tasse	tas	tasse	NOM	f	s	21.89	34.12	18.52	25.07		2	5	1	5	3	CVCCV	CVC	14	29	5	3	tas	1	CVC	essat	sat	tas-se	NOM,VER	100	18	1.05	1	tasse	1
		unité	ynite	unité	NOM	f	s	43.46	40.41	29.29	25.07		1	2	1	5	5	VCVCV	VCVCV	1	3	5	5	y-ni-te	3	V-CV-CV	étinu	etiny	u-ni-té	NOM	100	20	1.85	1.85	un-ité	2
		allée	ale	aller	VER	f	s	9992.77	2854.93	52.93	25	par:pas;	2	24	0	5	3	VCCVV	VCV	4	30	5	3	a-le	2	V-CV	eélla	ela	al-lée	VER,NOM	100	17	1.5	1	aller	1
		collège	kolEZ	collège	NOM	m	s	11.58	26.82	11.3	25		1	2	1	7	5	CVCCVCV	CVCVC	1	4	7	5	ko-lEZ	2	CV-CVC	egèlloc	ZElok	col-lè-ge	NOM	100	22	2.05	1.75	collège	1
		droits	dRwa	droit	NOM	m	p	207.62	163.72	32.01	25		2	5	0	6	4	CCVVCC	CCYV	1	7	0	4	dRwa	1	CCYV	stiord	awRd	droits	ADJ,NOM	96	33	1.8	1.35	droit	1
		habitants	abit@	habitant	NOM	m	p	16.68	29.46	15.21	25		1	3	0	9	5	CVCVCVCCC	VCVCV	1	10	0	5	a-bi-t@	3	V-CV-CV	stnatibah	@tiba	ha-bi-tants	NOM	100	20	2.25	1.3	habitant	1
		part	paR	partir	VER			1111.97	485.68	67.76	25	ind:pre:3s;	2	10	0	4	3	CVCC	CVC	14	37	4	3	paR	1	CVC	trap	Rap	part	NOM,VER	93	32	1	1	partir	1
		perd	pER	perdre	VER			546.08	377.36	39.97	25	ind:pre:3s;	1	13	0	4	3	CVCC	CVC	3	32	0	3	pER	1	CVC	drep	REp	perd	VER	100	32	1.7	1	perdre	1
		préparait	pRepaRE	préparer	VER			174.33	154.12	3.38	25	ind:imp:3s;	1	4	0	9	7	CCVCVCVVC	CCVCVCV	2	4	0	0	pRe-pa-RE	3	CCV-CV-CV	tiarapérp	ERapeRp	pré-pa-rait	VER	100	19	1.95	1.6	préparer	1
		revers	R°vER	revers	NOM	m		3.6	25	3.6	25		1	1	1	6	5	CVCVCC	CVCVC	2	12	6	5	R°-vER	2	CV-CVC	srever	REv°R	re-vers	NOM	95	23	1.75	1	revers	1
		traversa	tRavERsa	traverser	VER			72.26	200.81	0.63	25	ind:pas:3s;	1	1	0	8	8	CCVCVCCV	CCVCVCCV	2	5	0	0	tRa-vER-sa	3	CCV-CVC-CV	asrevart	asREvaRt	tra-ver-sa	VER	100	26	1.95	1.75	traverser	1
		vienne	vjEn	venir	VER			2763.82	1514.53	34.52	25	sub:pre:1s;sub:pre:3s;	1	3	0	6	4	CVVCCV	CYVC	3	6	0	0	vjEn	1	CYVC	enneiv	nEjv	vien-ne	VER	100	16	1.8	1.6	venir	1
		océan	ose@	océan	NOM	m	s	24.89	28.78	22.86	24.93		1	2	1	5	4	VCVVC	VCVV	0	0	5	4	o-se-@	3	V-CV-V	naéco	@eso	o-céan	NOM	100	21	2.35	1.8	océan	1
		partager	paRtaZe	partager	VER			79.08	78.99	34.05	24.93	inf;	1	10	1	8	7	CVCCVCVC	CVCCVCV	4	6	8	7	paR-ta-Ze	3	CVC-CV-CV	regatrap	eZatRap	par-ta-ger	VER	96	26	1.65	1.55	partager	1
		pleure	pl9R	pleurer	VER			191.64	163.31	60.17	24.93	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	1	5	0	6	4	CCVVCV	CCVC	6	4	0	4	pl9R	1	CCVC	eruelp	R9lp	pleu-re	VER	100	17	1.4	1.35	pleurer	1
		prêts	pRE	prêt	ADJ			314.64	121.28	67.39	24.93		2	6	0	5	3	CCVCC	CCV	3	21	0	3	pRE	1	CCV	stêrp	ERp	prêts	ADJ,NOM	100	26	1.7	1	prêt	1
		publique	pyblik	public	ADJ	f	s	44.81	65.27	16.5	24.93		1	6	0	8	6	CVCCVCVV	CVCCVC	0	0	0	6	py-blik	2	CV-CCVC	euqilbup	kilbyp	pu-bli-que	ADJ	100	19	2.1	1.85	public	1
		quittait	kitE	quitter	VER			276.23	318.72	2.88	24.93	ind:imp:3s;	1	4	0	8	4	CVVCCVVC	CVCV	2	13	0	0	ki-tE	2	CV-CV	tiattiuq	Etik	quit-tait	VER	100	11	2.1	1.15	quitter	1
		ramener	Ram°ne	ramener	VER			172.7	109.26	51.43	24.93	inf;;inf;;inf;;inf;;	1	6	1	7	6	CVCVCVC	CVCVCV	2	6	6	4	Ra-m°-ne	3	CV-CV-CV	renemar	en°maR	ra-me-ner	VER	100	23	1.85		ramener	1
		science	sj@s	science	NOM	f	s	32.97	31.08	25.28	24.93		1	2	1	7	4	CCVVCCV	CYVC	0	3	7	4	sj@s	1	CYVC	ecneics	s@js	s-cien-ce	NOM	100	35	2.5	1.75	science	1
		vaisselle	vEsEl	vaisselle	NOM	f	s	12.11	25.95	12.1	24.93		1	2	1	9	5	CVVCCVCCV	CVCVC	0	0	8	4	vE-sEl	2	CV-CVC	ellessiav	lEsEv	vais-sel-le	NOM	100	27	2.6	1.95	vaisselle	1
		amuse	amyz	amuser	VER			141.41	120.95	39.85	24.86	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	1	3	0	5	4	VCVCV	VCVC	4	3	0	0	a-myz	2	V-CVC	esuma	zyma	a-mu-se	VER	100	22	1.5	1.5	amuser	1
		apportait	apORtE	apporter	VER			209.91	159.32	3.24	24.86	ind:imp:3s;	1	4	0	9	6	VCCVCCVVC	VCVCCV	2	7	0	0	a-pOR-tE	3	V-CVC-CV	tiatroppa	EtROpa	ap-por-tait	VER	100	22	1.8	1.4	apporter	1
		avoue	avu	avouer	VER			61.56	96.22	24.48	24.86	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	3	0	5	3	VCVVV	VCV	2	12	0	0	a-vu	2	V-CV	euova	uva	a-voue	VER	92	25	1.65	1.2	avouer	1
		choeur	k9R	choeur	NOM	m	s	7	26.69	6.39	24.86		1	4	1	6	3	CCVVVC	CVC	1	13	4	3	k9R	1	CVC	rueohc	R9k	choeur	NOM	100	13	1.85	1.2	choeur	1
		concert	k§sER	concert	NOM	m	s	31.65	30.14	26.51	24.86		1	2	1	7	5	CVCCVCC	CVCVC	1	13	7	5	k§-sER	2	CV-CVC	trecnoc	REs§k	con-cert	NOM	90	21	1.75	1.2	concert	1
		crépuscule	kRepyskyl	crépuscule	NOM	m	s	7.35	26.35	7.12	24.86		1	2	1	10	9	CCVCVCCVCV	CCVCVCCVC	0	0	10	9	kRe-pys-kyl	3	CCV-CVC-CVC	elucsupérc	lyksypeRk	cré-pus-cu-le	NOM	91	24	3.55	3.65	crépuscule	1
		drôlement	dRol°m@	drôlement	ADV			10.79	24.86	10.79	24.86		1	1	1	9	7	CCVCVCVCC	CCVCVCV	1	2	6	6	dRo-l°-m@	3	CCV-CV-CV	tnemelôrd	@m°loRd	drô-le-ment	ADV			2.7		drôlement	1
		lit	li	lire	VER			281.09	324.8	14.22	24.86	ind:pre:3s;	2	10	0	3	2	CVC	CV	19	29	3	2	li	1	CV	til	il	lit	VER,NOM	100	12	1	1	lire	1
		marchant	maRS@	marcher	VER			364.37	325.61	4.32	24.86	par:pre;	2	6	0	8	5	CVCCCVCC	CVCCV	3	6	8	5	maR-S@	2	CVC-CV	tnahcram	@SRam	mar-chant	ADJ,VER	100	13	1.8	1.45	marcher	1
		meilleure	mEj9R	meilleur	ADJ	f	s	221.17	86.82	73.69	24.86		2	9	0	9	5	CVVCCVVCV	CVYVC	1	4	0	4	mE-j9R	2	CV-YVC	eruelliem	R9jEm	meil-leu-re	ADJ,NOM	96	30	2.55	1.8	meilleur	1
		naturelle	natyREl	naturel	ADJ	f	s	39.78	75.68	14.02	24.86		1	6	0	9	7	CVCVCVCCV	CVCVCVC	0	0	0	7	na-ty-REl	3	CV-CV-CVC	ellerutan	lERytan	na-tu-rel-le	ADJ	100	19	2.8	2.75	nature-el	2
		panique	panik	panique	NOM	f	s	16.23	25.61	16.17	24.86		2	6	1	7	5	CVCVCVV	CVCVC	3	1	7	5	pa-nik	2	CV-CVC	euqinap	kinap	pa-ni-que	NOM,VER	100	25	1.65	1.65	panique	1
		salaud	salo	salaud	NOM	m	s	87.4	37.84	66.74	24.86		2	6	1	6	4	CVCVVC	CVCV	0	20	5	4	sa-lo	2	CV-CV	dualas	olas	sa-laud	ADJ,NOM	90	30	1.95	1	salaud	1
		soi-même	swamEm	soi-même	PRO:per		s	6.86	24.86	6.86	24.86		1	1	1	8	6	CVV-CVCV	CYVCVC	2	2	5	4	swa-mEm	2	CYV-CVC	emêm-ios	mEmaws	soi-même	PRO:per			3.45	2.65	soi-même-:per	3
		termes	tERm	terme	NOM	m	p	37.67	59.73	11.96	24.86		1	3	0	6	4	CVCCVC	CVCC	6	16	0	4	tERm	1	CVCC	semret	mREt	ter-mes	NOM	87	16	1.6	1.05	terme	1
		totale	total	total	ADJ	f	s	24.59	41.62	15.26	24.86		1	4	0	6	5	CVCVCV	CVCVC	1	1	0	5	to-tal	2	CV-CVC	elatot	latot	to-ta-le	ADJ	96	26	1.85	1.95	total	1
		vagues	vag	vague	ADJ		p	9.9	65.95	3.58	24.86		2	6	0	6	3	CVCVVC	CVC	5	15	0	3	vag	1	CVC	seugav	gav	va-gues	ADJ,NOM	100	23	1.7	1	vague	1
		absurde	apsyRd	absurde	ADJ		s	23.59	30.95	21.56	24.8		2	4	1	7	6	VCCVCCV	VCCVCC	0	0	7	6	ap-syRd	2	VC-CVCC	edrusba	dRyspa	ab-sur-de	ADJ,NOM	100	32	2.55	2.4	absurde	1
		exprès	EkspRE	exprès	ADJ	m		24.06	26.22	23.68	24.8		3	3	1	6	6	VCCCVC	VCCCCV	0	2	5	6	Ek-spRE	2	VC-CCCV	sèrpxe	ERpskE	ex-près	ADJ,ADV,NOM	90	30	2.35	1.8	exprès	1
		fixer	fikse	fixer	VER			32.73	140.95	7.04	24.8	inf;	1	10	1	5	5	CVCVC	CVCCV	6	6	5	5	fik-se	2	CVC-CV	rexif	eskif	fixer	VER	100	19	1.55	1.5	fixer	1
		menait	m°nE	mener	VER			99.86	137.7	2.56	24.8	ind:imp:3s;	1	4	0	6	4	CVCVVC	CVCV	6	14	0	0	m°-nE	2	CV-CV	tianem	En°m	me-nait	VER	100	18	1.55	1.2	mener	1
		mortes	mORt	mort	ADJ	f	p	89.29	113.18	4.38	24.8		3	6	0	6	4	CVCCVC	CVCC	13	14	0	0	mORt	1	CVCC	setrom	tROm	mor-tes	ADJ,NOM,VER	100	29	1.15	1.2	mort	1
		sociale	sosjal	social	ADJ	f	s	34.4	49.8	16.06	24.8		1	4	0	7	6	CVCVVCV	CVCYVC	1	0	0	6	so-sjal	2	CV-CYVC	elaicos	lajsos	so-cia-le	ADJ	100	14	1.75	1.85	social	1
		tenais	t°nE	tenir	VER			504.69	741.22	11.03	24.8	ind:imp:1s;ind:imp:2s;	1	3	0	6	4	CVCVVC	CVCV	6	12	0	0	t°-nE	2	CV-CV	sianet	En°t	te-nais	VER	100	20	1.6	1.4	tenir	1
		villa	villa	villa	NOM	f	s	16.61	33.72	15.3	24.8		1	2	1	5	5	CVCCV	CVCCV	4	0	5	4	vil-la	2	CVC-CV	alliv	alliv	vil-la	NOM	100	19	1.65	2	villa	1
		écoutez	ekute	écouter	VER			470.93	314.05	92.46	24.8	imp:pre:2p;ind:pre:2p;	1	6	0	7	5	VCVVCVC	VCVCV	2	8	0	5	e-ku-te	3	V-CV-CV	zetuocé	etuke	é-cou-tez	VER	100	13	1.8	1.35	écouter	1
		écris	ekRi	écrire	VER			305.92	341.82	38.24	24.8	imp:pre:2s;ind:pre:1s;ind:pre:2s;	1	10	0	5	4	VCCVC	VCCV	6	6	0	4	e-kRi	2	V-CCV	sircé	iRke	é-cris	VER	96	29	1.35	1.3	écrire	1
		célèbre	selEbR	célèbre	ADJ		s	31.67	33.58	25.98	24.73		2	5	1	7	6	CVCVCCV	CVCVCC	0	0	4	5	se-lEbR	2	CV-CVCC	erbèléc	RbEles	cé-lè-bre	ADJ,VER	100	20	2.4	2	célèbre	1
		perdait	pERdE	perdre	VER			546.08	377.36	2.52	24.73	ind:imp:3s;	1	3	0	7	5	CVCCVVC	CVCCV	6	11	0	0	pER-dE	2	CVC-CV	tiadrep	EdREp	per-dait	VER	100	32	1.6	1.3	perdre	1
		province	pRov5s	province	NOM	f	s	12.01	30.68	10.21	24.73		1	2	1	8	6	CCVCVCCV	CCVCVC	0	0	8	6	pRo-v5s	2	CCV-CVC	ecnivorp	s5voRp	pro-vin-ce	NOM	100	19	2.55	2.05	province	1
		russes	Rys	russe	NOM		p	35.44	40.27	19.76	24.73		2	4	0	6	3	CVCCVC	CVC	7	21	0	3	Rys	1	CVC	sessur	syR	rus-ses	ADJ,NOM	95	20	1.45	1	russe	1
		carnet	kaRnE	carnet	NOM	m	s	13.23	31.82	11.06	24.66		1	2	1	6	5	CVCCVC	CVCCV	2	5	6	5	kaR-nE	2	CVC-CV	tenrac	EnRak	car-net	NOM	94	18	1.75	1.45	carnet	1
		coton	kot§	coton	NOM	m	s	10.09	26.22	10.06	24.66		1	2	1	5	4	CVCVC	CVCV	6	23	5	4	ko-t§	2	CV-CV	notoc	§tok	co-ton	NOM	92	27	1.55	1	co-ton	2
		disparut	dispaRy	disparaître	VER			166.13	183.31	2.05	24.66	ind:pas:3s;	1	14	0	8	7	CVCCVCVC	CVCCVCV	3	1	0	7	dis-pa-Ry	3	CVC-CV-CV	turapsid	yRapsid	dis-pa-rut	VER	100	26	2.4	2.45	disparaître	1
		essaya	eseja	essayer	VER			670.4	296.69	0.65	24.66	ind:pas:3s;	1	2	0	6	5	VCCVVV	VCVYV	3	4	0	0	e-se-ja	3	V-CV-YV	ayasse	ajese	es-saya	VER	100	24	1.8	1.65	essayer	1
		fous	fu	fou	ADJ	m	p	321.31	164.32	48.96	24.66		3	6	0	4	2	CVVC	CV	14	27	0	2	fu	1	CV	suof	uf	fous	ADJ,NOM,VER			1.1	1	fou	1
		lancé	l@se	lancer	VER	m	s	75.22	165.07	17.31	24.66	par:pas;	1	10	0	5	4	CVCCV	CVCV	3	15	0	4	l@-se	2	CV-CV	écnal	es@l	lan-cé	VER	100	19	1.65	1	lancer	1
		plis	pli	pli	NOM	m	p	6	41.42	1.58	24.66		1	7	0	4	3	CCVC	CCV	9	14	0	3	pli	1	CCV	silp	ilp	plis	NOM			1.1	1	plier	1
		roues	Ru	roue	NOM	f	p	21.87	42.43	8.38	24.66		2	7	0	5	2	CVVVC	CV	11	27	0	2	Ru	1	CV	seuor	uR	roues	NOM,VER	100	16	1	1	roue	1
		uniquement	ynik°m@	uniquement	ADV			21.86	24.66	21.86	24.66		1	1	1	10	7	VCVCVVCVCC	VCVCVCV	0	0	7	5	y-ni-k°-m@	4	V-CV-CV-CV	tnemeuqinu	@m°kiny	u-ni-que-ment	ADV			2.85		uniquement	1
		îles	il	île	NOM	f	p	58.35	108.24	8.15	24.66		1	8	0	4	2	VCVC	VC	1	15	0	2	il	1	VC	selî	li	î-les	NOM			1.85	1	île	1
		aimable	Emabl	aimable	ADJ		s	23.41	29.26	21.98	24.59		1	2	1	7	5	VVCVCCV	VCVCC	0	0	7	5	E-mabl	2	V-CVCC	elbamia	lbamE	ai-ma-ble	ADJ	100	26	2.05	2	aimer-able	2
		au-dessous	od°su	au-dessous	ADV			2.98	24.59	2.98	24.59		1	1	1	10	5	VV-CVCCVVC	VCVCV	0	1	8	5	o-d°-su	3	V-CV-CV	suossed-ua	us°do	au-dessous	ADV			3.5	2.2	au-dessous	2
		cesse	sEs	cesser	VER			68.11	177.77	11.89	24.59	imp:pre:2s;ind:pre:1s;ind:pre:3s;	2	5	0	5	3	CVCCV	CVC	8	26	5	3	sEs	1	CVC	essec	sEs	ces-se	NOM,VER	100	23	1.35	1	cesser	1
		demeurait	d°m9RE	demeurer	VER			13.18	128.85	0.45	24.59	ind:imp:3s;	1	4	0	9	6	CVCVVCVVC	CVCVCV	2	4	0	0	d°-m9-RE	3	CV-CV-CV	tiaruemed	ER9m°d	de-meu-rait	VER	100	19	2.4	1.7	demeurer	1
		films	film	film	NOM	m	p	252.66	74.12	57.56	24.59		1	5	0	5	4	CVCCC	CVCC	5	10	0	4	film	1	CVCC	smlif	mlif	film-s	NOM	95	24	1.55	1.05	film	1
		pourvu	puRvy	pourvoir	VER	m	s	21.48	33.78	18.5	24.59	par:pas;	1	5	0	6	5	CVVCCV	CVCCV	0	0	0	0	puR-vy	2	CVC-CV	uvruop	yvRup	pour-vu	VER	86	22	2.1	2	pourvoir	1
		apporté	apORte	apporter	VER	m	s	209.91	159.32	54.44	24.53	par:pas;	1	6	0	7	6	VCCVCCV	VCVCCV	3	8	0	5	a-pOR-te	3	V-CVC-CV	étroppa	etROpa	ap-por-té	VER	100	22	1.65	1.35	apporter	1
		cherché	SERSe	chercher	VER	m	s	712.46	448.99	32.27	24.53	par:pas;	1	6	0	7	5	CCVCCCV	CVCCV	2	6	0	5	SER-Se	2	CVC-CV	éhcrehc	eSRES	cher-ché	VER	100	22	2.05	1.55	chercher	1
		manqué	m@ke	manquer	VER	m	s	253.94	197.64	38.94	24.53	par:pas;	2	10	0	6	4	CVCCVV	CVCV	5	10	6	4	m@-ke	2	CV-CV	éuqnam	ek@m	man-qué	VER,ADJ	95	24	1.6	1.35	manquer	1
		plaindre	pl5dR	plaindre	VER			61.25	67.84	17.27	24.53	inf;;inf;;inf;;inf;;	1	1	1	8	5	CCVVCCCV	CCVCC	1	1	6	4	pl5dR	1	CCVCC	erdnialp	Rd5lp	plain-dre	VER	100	22	2.25	1.7	plaindre	1
		raide	REd	raide	ADJ		s	7.76	39.39	6.61	24.53		2	5	1	5	3	CVVCV	CVC	6	22	5	3	REd	1	CVC	ediar	dER	rai-de	ADJ,ADV	93	16	1.25	1	raide	1
		apparaître	apaREtR	apparaître	VER			43.78	159.26	6.3	24.46	inf;	1	1	1	10	7	VCCVCVVCCV	VCVCVCC	1	0	7	6	a-pa-REtR	3	V-CV-CVCC	ertîarappa	RtERapa	ap-pa-raî-tre	VER	95	23	2.5	1.75	apparaître	1
		avant	av@	avant	ADJ			23.8	24.46	23.8	24.46		4	6	1	5	3	VCVCC	VCV	4	17	5	3	a-v@	2	V-CV	tnava	@va	a-vant	ADJ,ADV,NOM,PRE	100	33	1.55	1	avant	1
		moderne	modERn	moderne	ADJ		s	21.3	34.73	16.77	24.46		2	4	1	7	6	CVCVCCV	CVCVCC	0	0	7	6	mo-dERn	2	CV-CVCC	enredom	nREdom	mo-der-ne	ADJ,NOM	96	27	2.4	1.95	moderne	1
		rond	R§	rond	NOM	m	s	16.84	33.65	15.11	24.46		2	7	1	4	2	CVCC	CV	6	26	4	2	R§	1	CV	dnor	§R	rond	ADJ,NOM	95	48	1.45	1	rond	1
		allant	al@	aller	VER			9992.77	2854.93	8.11	24.39	par:pre;	3	5	0	6	3	VCCVCC	VCV	1	31	5	3	a-l@	2	V-CV	tnalla	@la	al-lant	ADJ,NOM,VER	100	17	1.75	1	aller	1
		endormir	@dORmiR	endormir	VER			48.19	73.18	15.36	24.39	inf;	1	2	1	8	7	VCCVCCVC	VCVCCVC	3	3	8	7	@-dOR-miR	3	V-CVC-CVC	rimrodne	RimROd@	en-dor-mir	VER	90	11	1.7	1.5	endormir	1
		manquer	m@ke	manquer	VER			253.94	197.64	30.61	24.39	inf;	1	10	1	7	4	CVCCVVC	CVCV	5	10	7	4	m@-ke	2	CV-CV	reuqnam	ek@m	man-quer	VER	95	24	1.6	1.35	manquer	1
		panier	panje	panier	NOM	m	s	15.72	33.18	13.82	24.39		1	2	1	6	5	CVCVVC	CVCYV	7	6	6	5	pa-nje	2	CV-CYV	reinap	ejnap	pa-nier	NOM	96	33	1.55	1.45	panier	1
		passants	pas@	passant	NOM	m	p	2.76	32.57	1.82	24.39		2	5	0	8	4	CVCCVCCC	CVCV	3	22	0	4	pa-s@	2	CV-CV	stnassap	@sap	pas-sants	ADJ,NOM	100	18	1.75	1	passant	1
		relever	R°l°ve	relever	VER			39.49	124.93	10.46	24.39	inf;	1	14	1	7	6	CVCVCVC	CVCVCV	2	6	7	6	R°-l°-ve	3	CV-CV-CV	reveler	ev°l°R	re-le-ver	VER	100	19	1.85		relever	1
		sérieux	seRj2	sérieux	NOM	m		28.09	25.07	27.58	24.39		2	2	1	7	5	CVCVVVC	CVCYV	0	2	7	5	se-Rj2	2	CV-CYV	xueirés	2jRes	sé-rieux	ADJ,NOM	96	25	2.25	1.8	série-eux	2
		avocat	avoka	avocat	NOM	m	s	112.69	37.64	89.28	24.32		1	2	1	6	5	VCVCVC	VCVCV	0	2	6	5	a-vo-ka	3	V-CV-CV	tacova	akova	a-vo-cat	NOM	95	24	2.4	1.85	avocat	1
		contente	k§t@t	content	ADJ	f	s	178.94	86.49	50.76	24.32		2	5	0	8	5	CVCCVCCV	CVCVC	7	2	0	0	k§-t@t	2	CV-CVC	etnetnoc	t@t§k	con-ten-te	ADJ,VER	100	26	1.4	1.55	content	1
		culture	kyltyR	culture	NOM	f	s	22.65	28.51	18.76	24.32		1	2	1	7	6	CVCCVCV	CVCCVC	0	0	7	6	kyl-tyR	2	CVC-CVC	erutluc	Rytlyk	cul-tu-re	NOM	100	15	1.95	1.9	culture	1
		philosophie	filozofi	philosophie	NOM	f	s	10.32	24.73	9.82	24.32		1	2	1	11	8	CCVCVCVCCVV	CVCVCVCV	0	4	11	8	fi-lo-zo-fi	4	CV-CV-CV-CV	eihposolihp	ifozolif	phi-lo-so-phie	NOM	100	24	2.6	2.6	philosophe-ie	2
		poissons	pwas§	poisson	NOM	m	p	81.51	54.46	27.9	24.32		2	3	0	8	5	CVVCCVCC	CYVCV	3	10	0	5	pwa-s§	2	CYV-CV	snossiop	§sawp	pois-sons	VER,NOM	100	12	1.65	1.4	poisson	1
		procès	pRosE	procès	NOM	m		45.41	24.32	45.41	24.32		1	1	1	6	5	CCVCVC	CCVCV	0	7	6	5	pRo-sE	2	CCV-CV	sècorp	EsoRp	pro-cès	NOM	100	17	1.95	1.55	procès	1
		roule	Rul	rouler	VER			61.82	163.45	22.86	24.32	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	2	5	0	5	3	CVVCV	CVC	14	18	5	3	Rul	1	CVC	eluor	luR	rou-le	NOM,VER	100	18	1	1	rouler	1
		simples	s5pl	simple	ADJ		p	137.69	148.58	13.12	24.32		2	4	0	7	4	CVCCCVC	CVCC	2	4	0	4	s5pl	1	CVCC	selpmis	lp5s	sim-ples	ADJ,NOM	100	27	1.8	1.75	simple	1
		vélo	velo	vélo	NOM	m	s	35.58	28.45	32.95	24.32		1	2	1	4	4	CVCV	CVCV	1	7	4	4	ve-lo	2	CV-CV	olév	olev	vé-lo	NOM	95	21	1.9	1.65	vélo	1
		appela	ap°la	appeler	VER			1165.48	465.34	1.67	24.26	ind:pas:3s;	1	2	0	6	5	VCCVCV	VCVCV	2	6	0	0	a-p°-la	3	V-CV-CV	aleppa	al°pa	ap-pe-la	VER	95	20	1.75		appeler	1
		banquette	b@kEt	banquette	NOM	f	s	3.02	30.88	2.66	24.26		1	2	1	9	5	CVCCVVCCV	CVCVC	1	3	8	5	b@-kEt	2	CV-CVC	etteuqnab	tEk@b	ban-quet-te	NOM	100	22	1.85	1.7	banquette	1
		grain	gR5	grain	NOM	m	s	14.32	35.95	10.74	24.26		1	2	1	5	3	CCVVC	CCV	3	15	5	3	gR5	1	CCV	niarg	5Rg	grain	NOM	100	21	1.5	1	grain	1
		lisse	lis	lisse	ADJ		s	3.48	33.58	2.71	24.26		3	11	1	5	3	CVCCV	CVC	10	27	5	3	lis	1	CVC	essil	sil	lis-se	ADJ,NOM,VER	100	15	1	1	lisse	1
		observer	opsERve	observer	VER			42.66	116.01	11.22	24.26	inf;	1	10	1	8	7	VCCVCCVC	VCCVCCV	2	4	7	7	op-sER-ve	3	VC-CVC-CV	revresbo	evREspo	ob-ser-ver	VER	100	19	1.95	1.8	observer	1
		tempête	t@pEt	tempête	NOM	f	s	19.73	31.28	15.72	24.26		2	4	1	7	5	CVCCVCV	CVCVC	2	3	7	4	t@-pEt	2	CV-CVC	etêpmet	tEp@t	tem-pê-te	NOM,VER	95	22	2.25	1.6	tempête	1
		tiennent	tjEn	tenir	VER			504.69	741.22	11.43	24.26	ind:pre:3p;	1	7	0	8	4	CVVCCVCC	CYVC	1	7	0	4	tjEn	1	CYVC	tnenneit	nEjt	tien-nent	VER	100	20	2.2	1.55	tenir	1
